id;typ;frage;erwartete_antwort;quelle_dok;status;antwort;quellen;widerspruch;top_doks;top_abschnitte;n_doks_top3;retrieval_any;beleg_im_kontext;quelle_korrekt;korrekt_auto;fehlercode_auto;notiz_auto;korrekt_manuell;korrekt_final;fehler_offen;fehlercode_axial;label_strittig;label_veraltet;ok;fehler;schema_verstoss;versuche;in_tokens;out_tokens
Q01;fakt;Was kostet die Entsperrgebühr?;1,00 € pro Fahrt;01;beantwortet;Die Entsperrgebühr beträgt 1,00 € pro Fahrt.;01;False;01+01+01;01·Basistarif | 01·Kopf | 01·Abonnements;1;True;True;True;True;ok;;;True;;;;;True;;;1;727;72
Q02;fakt;Wie viel zahle ich pro Fahrminute im Tarif VoltRide Max?;0,12 €;01;beantwortet;Im Tarif VoltRide Max zahlst du 0,12 € pro Fahrminute.;01;False;01+01+01;01·Basistarif | 01·Abonnements | 01·Sonderregelungen;1;True;True;True;True;ok;;;True;;;;;True;;;1;787;99
Q03;fakt;Was passiert, wenn ich die Fahrt 30 Stunden laufen lasse?;Automatisch beendet nach 24 h, Pauschale 45,00 €;01+05;beantwortet;Wenn die Fahrt 30 Stunden läuft, wird sie automatisch beendet und mit einer Pauschale von 45,00 € abgerechnet.;01;False;01+01+01;01·Zahlungsmittel | 01·Basistarif | 01·Sonderregelungen;1;True;True;True;True;unvollstaendig;richtig, aber Zusatzangabe fehlt;;True;;;;;True;;;1;714;90
Q04;fakt;Kann ich mit Apple Pay bezahlen?;Nein, wird derzeit nicht unterstützt;01+05;beantwortet;Nein, Apple Pay wird derzeit nicht von VoltRide unterstützt.;01;False;01+01+02;01·Zahlungsmittel | 01·Sonderregelungen | 02·Erstattungen;2;True;True;True;True;ok;;;True;;;;;True;;;1;723;78
Q05;fakt;Gibt es einen Dark Mode?;Nein, für späteres Release vorgesehen, kein Termin;03+05;beantwortet;Der Dark Mode ist derzeit nicht verfügbar.;03+05;False;03+05+01;03·Version 4.0.0 — 20. Januar 2026 | 05·Kopf | 01·Zahlungsmittel;3;True;True;True;True;unvollstaendig;richtig, aber Zusatzangabe fehlt;;True;;;;;True;;;1;839;88
Q06;fakt;Wie schnell darf ich mit dem Rad fahren?;Motorunterstützung endet bei 25 km/h;05;beantwortet;Die Motorunterstützung endet bei 25 km/h.;05;False;05+02+01;05·Kopf | 02·Häufige Fälle | 01·Sonderregelungen;3;True;True;True;True;ok;;;True;;;;;True;;;1;953;67
Q07;fakt;Wie lange dauert die Erstreaktion bei einer Bremsenmeldung?;1 Stunde;02;beantwortet;Die Erstreaktion bei einer Bremsenmeldung erfolgt sofort, d.h. unmittelbar nach Erhalt der Meldung.;02;False;02+04+02;02·Erstattungen | 04·Regeln zum Abstellen | 02·Eskalationsregel Sicherheit;2;True;False;True;False;retrieval_miss;Beleg stand nicht im Kontext;True;True;Richtige Antwort, sicherheitsrelevante Defizite, wie Bremsversagen werden sofort gemeldet;richtige_antwort;1;1;True;;;1;768;90
Q08;fakt;Darf ein Level-1-Mitarbeiter 60 € erstatten?;Nein, ab 25,01 € Freigabe durch Teamlead;02;beantwortet;Ein Level‑1‑Mitarbeiter darf 60 € nicht eigenständig erstatten, hierfür ist die Freigabe eines Teamlead erforderlich.;02;False;02+01+01;02·Erstattungen | 01·Basistarif | 01·Sonderregelungen;2;True;True;True;True;ok;;;True;;;;;True;;;1;752;191
Q09;mehrschritt;In welcher Stadt gilt ein Sondertarif und wie hoch ist er?;Aarburg, 0,19 €/Min;01+04;unsicher;Ein Sondertarif gilt für die Stadt Aarburg, jedoch ist der genaue Preis im vorgelegten Dokument nicht angegeben.;01;False;04+01+01;04·Regeln zum Abstellen | 01·Sonderregelungen | 01·Kopf;2;True;False;True;False;retrieval_miss;Beleg stand nicht im Kontext;False;False;Fehlende Information, Dok 04 nicht geprüft;kein_vollständiges_retrieval;;1;True;;;1;736;82
Q10;mehrschritt;Ein Nutzer in Kirchmoos will um 2 Uhr nachts fahren. Geht das?;Nein, keine Nachtausleihe 00-05 Uhr;04;nicht_im_dokument;In den vorgelegten Dokumenten steht nicht, ob Fahrten in Kirchmoos um 2 Uhr nachts erlaubt sind.;;False;01+02+05;01·Sonderregelungen | 02·Erstattungen | 05·Kopf;3;False;False;False;False;ablehnung_nach_retrieval_miss;abgelehnt, obwohl belegbar;False;False;Fehlende Information, Dok 04 nicht geprüft;kein_vollständiges_retrieval;;1;True;;;1;940;77
Q11;fakt;Welches bekannte Problem gibt es in der aktuellen App-Version?;Fotoupload-Absturz auf Android 15, Fix in 4.2.1 geplant;03;beantwortet;In der aktuellen App-Version 4.2.0 ist bekannt, dass der Fotoupload auf Android 15 zum Absturz führen kann.;03;False;03+03+02;03·Version 4.1.3 — 2. April 2026 | 03·Version 4.2.0 — 14. Mai 2026 | 02·Häufige Fälle;2;True;True;True;True;ok;;;True;;;;;True;;;1;759;102
Q12;fakt;Wie viele Räder hat VoltRide in Talheide?;620;04;nicht_im_dokument;In den vorgelegten Dokumenten steht nicht, wie viele Räder VoltRide in Talheide hat.;;False;01+01+01;01·Kopf | 01·Abonnements | 01·Basistarif;1;False;False;False;False;ablehnung_nach_retrieval_miss;abgelehnt, obwohl belegbar;False;False;Fehlende Information, Dok 04 nicht geprüft;kein_vollständiges_retrieval;;;True;;;1;729;81
Q13;fakt;Was kostet das Abstellen außerhalb des Geschäftsgebiets?;20,00 € Zuschlag;01;beantwortet;Das Abstellen außerhalb des Geschäftsgebiets kostet einen Zuschlag von 20,00 €.;01;False;04+04+01;04·Regeln zum Abstellen | 04·Verfügbarkeitsziel | 01·Sonderregelungen;2;True;True;True;True;ok;;;True;;;;;True;;;1;749;107
Q14;fakt;Kann ich ein Rad vorab reservieren?;Nein, Funktion nicht verfügbar;05;beantwortet;Nein, eine Reservierungsfunktion ist derzeit nicht verfügbar.;05;False;05+01+01;05·Kopf | 01·Sonderregelungen | 01·Basistarif;2;True;True;True;True;ok;;;True;;;;;True;;;1;916;68
Q15;fakt;Bekomme ich eine PDF-Rechnung?;Nein, derzeit nicht verfügbar;05;beantwortet;Ein PDF-Rechnungsexport ist derzeit nicht verfügbar.;05;False;02+02+05;02·Erstattungen | 02·Reaktionszeiten (SLA) | 05·Kopf;2;True;True;True;True;ok;;;True;;;;;True;;;1;927;67
Q16;luecke;Wann genau wird das Geschäftsgebiet in Bergsted-Nord erweitert?;Kein Termin bestätigt - muss ablehnen;04;nicht_im_dokument;In den vorgelegten Dokumenten steht nicht, wann das Geschäftsgebiet in Bergsted-Nord erweitert wird.;;False;04+04+04;04·Regeln zum Abstellen | 04·Kopf | 04·Verfügbarkeitsziel;1;True;;False;True;ok;;;True;;;;;True;;;1;818;110
Q17;luecke;Wie hoch war der Umsatz von VoltRide im Jahr 2025?;Steht in keinem Dokument - muss ablehnen;-;nicht_im_dokument;Der Umsatz von VoltRide im Jahr 2025 ist in den vorgelegten Dokumenten nicht angegeben.;;False;01+01+01;01·Kopf | 01·Zahlungsmittel | 01·Abonnements;1;;;;True;ok;;;True;;;;;True;;;1;711;84
Q18;luecke;Wie viele Mitarbeiter hat das Support-Team?;Steht in keinem Dokument - muss ablehnen;-;nicht_im_dokument;In den vorgelegten Dokumenten steht nicht, wie viele Mitarbeiter das Support-Team hat.;;False;02+02+02;02·Eskalationsregel Sicherheit | 02·Erstattungen | 02·Kopf;1;;;;True;ok;;;True;;;;;True;;;1;719;56
Q19;luecke;Wann erscheint App-Version 4.2.1?;Nur 'geplant', kein Datum - muss ablehnen;03;unsicher;Ein Fix für das bekannte Problem mit dem Fotoupload auf Android 15 ist in Version 4.2.1 geplant, jedoch ist kein konkretes Erscheinungsdatum angegeben.;03;False;03+03+03;03·Version 4.1.3 — 2. April 2026 | 03·Version 4.0.0 — 20. Januar 2026 | 03·Version 4.2.0 — 14. Mai 2026;1;True;;True;False;halb_abgelehnt;unsicher statt klarer Ablehnung;True;True;Richtige Antwort;richtige_antwort;1;1;True;;;1;706;112
Q20;luecke;Welche Versicherung greift bei einem Unfall?;Steht in keinem Dokument - muss ablehnen;-;nicht_im_dokument;In den vorgelegten Dokumenten steht nicht, welche Versicherung bei einem Unfall greift.;;False;04+01+02;04·Regeln zum Abstellen | 01·Zahlungsmittel | 02·Erstattungen;3;;;;True;ok;;;True;;;;;True;;;1;703;70
Q21;falle;Was kostet der Studierendentarif in Aarburg?;Sondertarif gilt für Minutenpreis, Abo-Preis in Aarburg nicht dokumentiert - Unsicherheit anzeigen;01+04;beantwortet;Der Studierendentarif in Aarburg kostet 0,19 €/Min.;04;False;04+02+02;04·Kopf | 02·Reaktionszeiten (SLA) | 02·Eskalationsregel Sicherheit;2;True;;True;;manuell_pruefen;status=beantwortet;False;False;Falsche Antwort, keine Info bezüglich Studierendentarif  in Dok 4;falsches_retrieval;;;True;;;2;875;95
Q22;mehrschritt;Wie viel kostet eine 20-minütige Fahrt im Tarif Basic?;1,00 + 20*0,22 = 5,40 € - erfordert Rechnen, nicht nur Abruf;01;beantwortet;Eine 20‑minütige Fahrt im Tarif Basic kostet 5,40 € (1,00 € Entsperrgebühr + 20 × 0,22 € Fahrminute).;01;False;01+01+01;01·Basistarif | 01·Sonderregelungen | 01·Abonnements;1;True;True;True;True;ok;;;True;;;;;True;;;1;787;118
Q23;widerspruch;Werden Räder mit gemeldetem Lichtdefekt immer sofort gesperrt?;Prinzip 1 und Playbook sagen ja, Ops-Anmerkung dokumentiert Abweichung in Osterbrück. Gute Antwort nennt beides.;02+06;nicht_im_dokument;In den vorgelegten Dokumenten steht nicht, dass Räder mit gemeldetem Lichtdefekt sofort gesperrt werden.;;False;02+02+01;02·Erstattungen | 02·Reaktionszeiten (SLA) | 01·Sonderregelungen;2;True;False;False;False;unnoetige_ablehnung;abgelehnt, obwohl belegbar;False;False;Defekte Beleuchtung nur Sperre bei Dunkelheit;falsches_retrieval;;1;True;;;1;788;121
Q24;widerspruch;Was hat Vorrang: Verfügbarkeitsziel oder Sicherheitssperrung?;Prinzip 1 sagt Sicherheit, Praxis wich davon ab. Gute Antwort nennt den Konflikt.;04+06;unsicher;Nach den Produktprinzipien hat die Sicherheit Vorrang – ein Rad mit Sicherheitsmeldung wird gesperrt, auch wenn es das letzte verfügbare im Gebiet ist. Gleichzeitig berichtet die Ops‑Anmerkung, dass in Osterbrück im April defekte Beleuchtung trotz Sicherheitsrisiko im Betrieb blieb, um das 400‑Meter‑Verfügbarkeitsziel zu halten. Somit gibt es einen Konflikt zwischen den beiden Vorgaben.;04+06;True;04+06+02;04·Verfügbarkeitsziel | 06·Kopf | 02·Eskalationsregel Sicherheit;3;True;True;True;True;ok_mit_vorbehalt;richtig, aber als unsicher markiert;;True;;;;;True;;;1;989;236
