id;typ;frage;erwartete_antwort;quelle_dok;status;antwort;quellen;widerspruch;top_doks;top_abschnitte;n_doks_top3;retrieval_any;beleg_im_kontext;quelle_korrekt;korrekt_auto;fehlercode_auto;notiz_auto;korrekt_manuell;korrekt_final;fehler_offen;fehlercode_axial;label_strittig;label_veraltet;ok;fehler;schema_verstoss;versuche;in_tokens;out_tokens
Q01;fakt;Was kostet die Entsperrgebühr?;1,00 € pro Fahrt;01;beantwortet;Die Entsperrgebühr beträgt 1,00 € pro Fahrt.;01;False;01+01+01;01·Basistarif | 01·Kopf | 01·Abonnements;1;True;True;True;True;ok;;;True;;;;;True;;;1;767;77
Q02;fakt;Wie viel zahle ich pro Fahrminute im Tarif VoltRide Max?;0,12 €;01;beantwortet;Im Tarif VoltRide Max zahlst du 0,12 € pro Fahrminute.;01;False;01+01+01;01·Basistarif | 01·Abonnements | 01·Sonderregelungen;1;True;True;True;True;ok;;;True;;;;;True;;;1;827;74
Q03;fakt;Was passiert, wenn ich die Fahrt 30 Stunden laufen lasse?;Automatisch beendet nach 24 h, Pauschale 45,00 €;01+05;beantwortet;Wenn die Fahrt 30 Stunden läuft, wird sie automatisch beendet und mit einer Pauschale von 45,00 € abgerechnet.;01;False;01+01+01;01·Zahlungsmittel | 01·Basistarif | 01·Sonderregelungen;1;True;True;True;True;unvollstaendig;richtig, aber Zusatzangabe fehlt;;True;;;;;True;;;1;754;94
Q04;fakt;Kann ich mit Apple Pay bezahlen?;Nein, wird derzeit nicht unterstützt;01+05;beantwortet;Nein, Apple Pay wird derzeit nicht unterstützt.;01;False;01+01+02;01·Zahlungsmittel | 01·Sonderregelungen | 02·Erstattungen;2;True;True;True;True;ok;;;True;;;;;True;;;1;763;67
Q05;fakt;Gibt es einen Dark Mode?;Nein, für späteres Release vorgesehen, kein Termin;03+05;beantwortet;Der Dark Mode ist derzeit nicht verfügbar.;03+05;False;03+05+01;03·Version 4.0.0 — 20. Januar 2026 | 05·Kopf | 01·Zahlungsmittel;3;True;True;True;True;unvollstaendig;richtig, aber Zusatzangabe fehlt;;True;;;;;True;;;1;879;88
Q06;fakt;Wie schnell darf ich mit dem Rad fahren?;Motorunterstützung endet bei 25 km/h;05;beantwortet;Die Motorunterstützung endet bei 25 km/h.;05;False;05+02+01;05·Kopf | 02·Häufige Fälle | 01·Sonderregelungen;3;True;True;True;True;ok;;;True;;;;;True;;;1;993;64
Q07;fakt;Wie lange dauert die Erstreaktion bei einer Bremsenmeldung?;1 Stunde;02;beantwortet;Die Erstreaktion erfolgt sofort, sobald die Meldung eingegangen ist.;02;False;02+04+02;02·Erstattungen | 04·Regeln zum Abstellen | 02·Eskalationsregel Sicherheit;2;True;False;True;False;retrieval_miss;Beleg stand nicht im Kontext;;False;;;;;True;;;1;808;87
Q08;fakt;Darf ein Level-1-Mitarbeiter 60 € erstatten?;Nein, ab 25,01 € Freigabe durch Teamlead;02;beantwortet;Ein Level‑1‑Mitarbeiter darf 60 € nicht eigenständig erstatten, für Beträge zwischen 25,01 € und 100,00 € ist die Freigabe eines Teamlead erforderlich.;02;False;02+01+01;02·Erstattungen | 01·Basistarif | 01·Sonderregelungen;2;True;True;True;True;ok;;;True;;;;;True;;;1;792;135
Q09;mehrschritt;In welcher Stadt gilt ein Sondertarif und wie hoch ist er?;Aarburg, 0,19 €/Min;01+04;unsicher;Der Sondertarif gilt in der Stadt Aarburg, jedoch ist der genaue Preis im vorgelegten Dokument nicht angegeben.;01;False;04+01+01;04·Regeln zum Abstellen | 01·Sonderregelungen | 01·Kopf;2;True;False;True;False;retrieval_miss;Beleg stand nicht im Kontext;;False;;;;;True;;;1;776;79
Q10;mehrschritt;Ein Nutzer in Kirchmoos will um 2 Uhr nachts fahren. Geht das?;Nein, keine Nachtausleihe 00-05 Uhr;04;nicht_im_dokument;Die vorgelegten Dokumente enthalten keine Angaben darüber, ob Fahrten in Kirchmoos um 2 Uhr nachts erlaubt sind.;;False;01+02+05;01·Sonderregelungen | 02·Erstattungen | 05·Kopf;3;False;False;False;False;ablehnung_nach_retrieval_miss;abgelehnt, obwohl belegbar;;False;;;;;True;;;1;980;84
Q11;fakt;Welches bekannte Problem gibt es in der aktuellen App-Version?;Fotoupload-Absturz auf Android 15, Fix in 4.2.1 geplant;03;beantwortet;In der aktuellen App-Version 4.2.0 gibt es ein bekanntes Problem: Auf Android 15 kann der Fotoupload zum Absturz führen.;03;False;03+03+02;03·Version 4.1.3 — 2. April 2026 | 03·Version 4.2.0 — 14. Mai 2026 | 02·Häufige Fälle;2;True;True;True;True;ok;;;True;;;;;True;;;1;799;106
